Time,Value
2.083333333333333e-05,93.75
0.005354166666666667,93.75
0.0106875,187.5
0.01602083333333333,281.25
0.02135416666666667,187.5
0.0266875,93.75
0.03202083333333333,93.75
0.03735416666666667,93.75
0.0426875,0
0.04802083333333333,93.75
0.05335416666666667,281.25
0.0586875,93.75
0.06402083333333333,187.5
0.06935416666666666,93.75
0.0746875,93.75
0.08002083333333333,0
0.08535416666666666,0
0.0906875,93.75
0.09602083333333333,0
0.1013541666666667,0
0.1066875,93.75
0.1120208333333333,0
0.1173541666666667,93.75
0.1226875,0
0.1280208333333333,93.75
0.1333541666666667,0
0.1386875,0
0.1440208333333333,93.75
0.1493541666666667,0
0.1546875,187.5
0.1600208333333333,375
