Time,Value
2.083333333333333e-05,164.0625
0.02135416666666667,70.3125
0.0426875,46.875
0.06402083333333333,46.875
0.08535416666666666,46.875
0.1066875,46.875
0.1280208333333333,46.875
0.1493541666666667,46.875
0.1706875,46.875
0.1920208333333333,46.875
0.2133541666666667,46.875
0.2346875,46.875
0.2560208333333333,46.875
0.2773541666666667,46.875
0.2986875,46.875
0.3200208333333333,164.0625
0.3413541666666667,140.625
0.3626875,117.1875
0.3840208333333333,93.75
0.4053541666666667,140.625
0.4266875,164.0625
