Time,Value
2.083333333333333e-05,7476.5625
0.02135416666666667,8554.6875
0.0426875,7335.9375
0.06402083333333333,7453.125
0.08535416666666666,8718.75
0.1066875,7593.75
0.1280208333333333,7945.3125
0.1493541666666667,7429.6875
0.1706875,14390.625
0.1920208333333333,11531.25
0.2133541666666667,11695.3125
0.2346875,10429.6875
0.2560208333333333,10804.6875
0.2773541666666667,10312.5
0.2986875,8039.0625
0.3200208333333333,11648.4375
0.3413541666666667,11648.4375
0.3626875,10875
0.3840208333333333,10687.5
0.4053541666666667,13406.25
0.4266875,11531.25
0.4480208333333333,11507.8125
0.4693541666666667,10640.625
0.4906875,10664.0625
0.5120208333333334,12117.1875
0.5333541666666667,10593.75
0.5546875,11062.5
0.5760208333333333,10640.625
0.5973541666666666,11085.9375
0.6186874999999999,11179.6875
0.6400208333333334,15562.5
0.6613541666666667,11015.625
0.6826875,7875
0.7040208333333333,10593.75
0.7253541666666666,10710.9375
0.7466874999999999,11085.9375
0.7680208333333334,14859.375
0.7893541666666667,10898.4375
0.8106875,11718.75
0.8320208333333333,8460.9375
0.8533541666666666,11062.5
0.8746875,10171.875
0.8960208333333334,17578.125
0.9173541666666667,16828.125
0.9386875,12726.5625
0.9600208333333333,14789.0625
0.9813541666666666,11765.625
1.0026875,11648.4375
1.024020833333333,11015.625
1.045354166666667,11085.9375
1.0666875,10898.4375
1.088020833333333,11085.9375
1.109354166666667,11039.0625
1.1306875,8414.0625
1.152020833333333,7921.875
1.173354166666667,8296.875
1.1946875,8414.0625
1.216020833333333,8460.9375
1.237354166666667,8437.5
1.2586875,11976.5625
1.280020833333333,8414.0625
1.301354166666667,15867.1875
1.3226875,12609.375
1.344020833333333,8179.6875
1.365354166666667,8179.6875
1.3866875,8296.875
1.408020833333333,14578.125
1.429354166666667,8085.9375
1.4506875,8250
1.472020833333333,8085.9375
1.493354166666667,11671.875
1.5146875,8507.8125
1.536020833333333,6984.375
1.557354166666667,8085.9375
1.5786875,11929.6875
1.600020833333333,9398.4375
1.621354166666667,8296.875
1.6426875,8226.5625
1.664020833333333,7453.125
1.685354166666667,7406.25
1.7066875,8437.5
1.728020833333333,7476.5625
1.749354166666667,7335.9375
1.7706875,14437.5
1.792020833333333,8742.1875
1.813354166666667,8578.125
1.8346875,7593.75
1.856020833333333,7945.3125
1.877354166666667,8085.9375
1.8986875,6984.375
1.920020833333333,8039.0625
1.941354166666667,11929.6875
1.9626875,8250
1.984020833333333,8296.875
2.005354166666667,9351.5625
2.0266875,7453.125
